company,Floor Size (square feet),Full-time staff,Sanitation staff employed,Safety Inspector,Part-time staff,Current clients,Bid provides supplemental sanitation services,Types of duties assigned to sanitation workers,Days per week of sanitation services,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,Bid provides supplemental public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,Bid provides supplemental streetscape and beautification services,Planters and hanging baskets maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,Street furniture elements maintained,Wayfinding elements maintained,Lighting elements maintained,Other infrastructure elements maintained,Public spaces maintained,Bid has holiday lighting program,Communication channels used,Social media followers,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Special event charges,Miscellaneous charges,Sanitation expenses,Public safety expenses,"Marketing, holiday lighting, and special event expenses",Streetscape & beautification expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Other G&A expenses,Total Quotation
Kreiger and Sons,10270,3,6,4,7,220,Yes,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,6,12699,"15,085",73500,60,Yes,Street patrol; Coordination with NYPD,9875,1438,Yes,0,27,64,0,155,0,64,0,0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media",11646,31300,2,121280,"$32,700",$-,305846,212483,"$130,351",,303350,22813,27852,134002,,58140,1064486
Ziemann and Sons,5220,1,2,4,2,145,Yes,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,4488,915,42000,48,No,,,,Yes,0,20,12,16,15,6,0,20,2,Yes,Direct mailings; Flyers; Email bulletins; Social media; LinkNYC advertising (more info),0,6500,16,61000,"$35,000",$-,119258,,"$29,875",11383,137000,6000,8071,8500,5000,5000,300212
"Runolfsdottir, Hauck and Little",1740,1,3,0,0,168,Yes,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,3240,6,1120,29,Yes,Street patrol,80,0,Yes,0,20,0,4,0,2,29,0,0,Yes,Print advertising (i.e. local newspaper); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,0,35100,38,15500,$-,"$2,400",68630,,"$39,151",12905,61885,19312,44796,9060,5000,2962,224550
"Braun, Rowe and Price",8150,1,0,4,0,42,No,,,,,,,Yes,Street patrol; Coordination with NYPD,180,30,No,,,,,,,,,,No,Direct mailings; Door-to-door visits; Flyers; Email bulletins,0,250,3,40,$-,$-,,18396,"$1,850",18475,16000,6800,3005,2400,2000,1542,68618
Cormier and Sons,41110,62,66,34,13,I don't know,Yes,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,135200,"3,677",255500,349,Yes,Street patrol; Coordination with NYPD,43909,2801,Yes,700,140,181,0,1228,1049,683,623,4,No,"Digital advertising (i.e. Google, Facebook, Instagram ads); Email bulletins; Social media",19700,10025,333,6150,$-,"$2,584",3975551,2668152,"$442,386",2175000,901393,66271,67009,102285,12220,147067,10114948
"Ullrich, Monahan and Frami",3460,1,3,0,1,181,Yes,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,4905,226,9191,24,No,,,,Yes,12,55,19,6,11,0,37,40,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",3601,7700,17,4500,"$23,119",$-,107249,,"$24,878",1036,117309,5300,3216,22192,6611,11028,273941
Schaefer and Sons,5930,0,4,0,3,187,Yes,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal,7,7904,-,57000,39,No,,,,Yes,20,0,23,1,23,0,0,1,0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Social media",0,5300,2,400,"$3,140",$-,134570,,"$58,449",12471,54549,4250,2156,14486,943,2911,226336
Hoeger-Koss,17170,2,2,0,1,345,Yes,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,3840,168,18500,60,No,,,,Yes,1,320,74,0,0,0,89,251,0,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",2715,7820,3,2500,$-,$331,104846,,"$106,203",77895,84756,7325,,22878,4949,1768,304417
Hoeger and Sons,17210,2,4,1,0,368,Yes,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,8800,"5,400",36000,84,Yes,Street patrol; Traffic mitigation; Coordination with NYPD,2080,1040,Yes,76,0,132,4,103,0,0,75 Bike Racks,0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",3052,12425,8,64450,"$33,890",$-,211589,49771,"$89,986",38469,113052,8450,3675,22532,4159,10905,462602
Bradtke Group,6690,1,1,0,12,296,Yes,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,6,2432,72,2230,40,No,,,,Yes,0,84,28,0,0,0,0,6,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Email bulletins; Social media",3874,1250,5,6750,"$5,316","$30,082",51587,,"$74,293",3686,82210,10950,6829,7800,3679,3710,170451
